iter,loss,event_time
0,0.022407997303796647,30
1,0.022255155189478574,30
2,0.01772198620565988,3
3,0.01279751508503231,9
4,0.017071739889626177,8
5,0.01666167765178562,4
6,0.020412744333396467,7
7,0.03871800364589156,30
8,0.02475833053036358,1
9,0.016714358317852836,4
10,0.024613630722551356,5
11,0.024850767791561618,1
12,0.02488052750640906,1
13,0.02490394664715768,1
14,0.02491943213681422,1
15,0.02492672455702955,1
16,0.024926919020101895,1
17,0.0249200360166237,1
18,0.024906693657066232,1
19,0.02488754007587785,1
20,0.024863554459890132,1
21,0.02483594439153774,1
22,0.024805773100531864,1
23,0.024773300250895323,1
24,0.024739516997010724,1
25,0.02470485923381791,1
26,0.024669946105284665,1
27,0.024635526432471484,1
28,0.024602119792401553,1
29,0.02457030916239443,1
30,0.024540490315636286,1
31,0.02451286657063402,1
32,0.02448755111285987,1
33,0.024464844240275143,1
34,0.02444469857556193,1
35,0.024427234103257794,1
36,0.024412338616043153,1
37,0.024399726030183658,1
38,0.024389374639443854,1
39,0.024381101911399094,1
40,0.024374790525319323,1
41,0.024370149913760852,1
42,0.02436721477550464,1
43,0.024365248674313396,1
44,0.024364401694043126,1
45,0.024364255325031645,1
46,0.02436503076238725,1
47,0.024365857572217455,1
48,0.02436711014373494,1
49,0.02436841360581045,1
50,0.024370040220913956,1
51,0.02437104092085323,1
52,0.02437203990735448,1
53,0.024372797127228604,1
54,0.024373349408114316,1
55,0.024373649659648805,1
56,0.02437364213626277,1
57,0.02437332572391203,1
58,0.024372898885242876,1
59,0.024372170468833446,1
60,0.02437133085080746,1
61,0.024370413294931673,1
62,0.024369409395887533,1
63,0.02436851464939291,1
64,0.02436742620716543,1
65,0.024366688930994362,1
66,0.024365807876268533,1
67,0.02436515712664039,1
68,0.02436423805517278,1
69,0.024363747678946956,1
70,0.024363569978517415,1
71,0.02436313322675918,1
72,0.02436288103407448,1
73,0.024362675407035003,1
74,0.02436239092728589,1
75,0.024362307835034326,1
76,0.02436227099157165,1
77,0.02436226760287983,1
78,0.024362453184005654,1
79,0.024362434123920435,1
80,0.02436247057523014,1
81,0.024362826322685563,1
82,0.024362644037097758,1
83,0.024362713491227258,1
84,0.0243627713521709,1
85,0.024362740298757395,1
86,0.02436275985978027,1
87,0.02436301449535173,1
88,0.024362736039081973,1
89,0.024362717684934584,1
90,0.02436266384419114,1
91,0.024362579058776302,1
92,0.024362585924436582,1
93,0.02436251460841273,1
94,0.024362590439333157,1
95,0.024362440760859652,1
96,0.0243624153914327,1
97,0.024362344692278198,1
98,0.024362279781674833,1
99,0.024362271560785843,1
100,0.0243623152209281,1
101,0.024362298728474795,1
102,0.024362397751657886,1
103,0.024362432414552822,1
104,0.024362396682752488,1
105,0.024362286449993418,1
106,0.024362324713622832,1
107,0.024362294042589674,1
108,0.024362315872232008,1
109,0.024362353945996347,1
110,0.02436232281703572,1
111,0.024362233501299554,1
112,0.024362268151312486,1
113,0.024362290124678047,1
114,0.024362277325537827,1
115,0.024362519616295267,1
116,0.024362380305097752,1
117,0.02436218829599124,1
118,0.02436227241135589,1
119,0.024362372405413547,1
120,0.024362252896484544,1
121,0.02436235795140331,1
122,0.024362245179103514,1
123,0.024362367897148175,1
124,0.02436228278441254,1
125,0.024362288262292583,1
126,0.024362251877695425,1
127,0.024362215891176913,1
128,0.024362231174515126,1
129,0.02436229169415287,1
130,0.024362391161344157,1
131,0.024362396027277782,1
132,0.02436229467046417,1
133,0.02436240083312096,1
134,0.024362366124522732,1
135,0.024362434670816967,1
136,0.024362399233601353,1
137,0.02436236437663202,1
138,0.024362329438989822,1
139,0.024362413574867722,1
140,0.024362267521965096,1
141,0.024362315909558074,1
142,0.02436232808069784,1
143,0.02436238097955604,1
144,0.02436231660061716,1
145,0.02436243912527049,1
146,0.024362403849039087,1
147,0.024362368590422307,1
148,0.02436233335721426,1
149,0.024362298154371825,1
150,0.024362355293951525,1
151,0.024362341376983107,1
152,0.02436236502840275,1
153,0.024362391400712103,1
154,0.02436237261193969,1
155,0.02436225655037706,1
156,0.0243622454021659,1
157,0.024362210395179548,1
158,0.024362495214687408,1
159,0.02436232371718307,1
160,0.024362288874709752,1
161,0.024362267025736718,1
162,0.024362553051973993,1
163,0.024362340557097475,1
164,0.024362557902682123,1
165,0.02436242223242822,1
166,0.02436232750616933,1
167,0.024362412709046516,1
168,0.024362304876464402,1
169,0.024362425867866445,1
170,0.0243623909859628,1
171,0.024362446811403277,1
172,0.02436241193274489,1
173,0.024362377056565646,1
174,0.024362342183021763,1
175,0.024362406902746606,1
176,0.024362372033587765,1
177,0.024362337166522037,1
178,0.024362419049945135,1
179,0.024362384140232757,1
180,0.02436232597633415,1
181,0.024362261422430077,1
182,0.024362212615860378,1
183,0.024362499434981626,1
184,0.024362309160379046,1
185,0.0243622331919045,1
