iter,loss
0,0.0511088508805927
1,0.05720987710879367
2,0.044821397901973134
3,0.06343130144299426
4,0.03664577709249025
5,0.034739816187813265
6,0.054429772099238834
7,0.034656080893457106
8,0.04711192678093028
9,0.046603824310533865
10,0.03432450094653049
11,0.03864722206197256
12,0.028292047162699185
13,0.02669941089536206
14,0.027495546140075565
15,0.018104593471324204
16,0.02982105033372753
17,0.03110095971941523
18,0.02456090597499174
19,0.03396224476628473
20,0.03264237696141914
21,0.026047817126322304
22,0.022144247949418203
23,0.018266482224172063
24,0.021446948956168697
25,0.016215646971570463
26,0.02244241671689687
27,0.017196690686645973
28,0.013934711364865057
29,0.025035354789666932
30,0.016524382771175326
31,0.01701946214529297
32,0.019140845512838903
33,0.011317773033396317
34,0.01273961272042873
35,0.01056626183148441
36,0.011939679533332841
37,0.009719126202991417
38,0.007404974534757448
39,0.019833486622658034
40,0.013325080207452806
41,0.010366304107311953
42,0.008228737447039865
43,0.021447208073256292
44,0.017287681856070443
45,0.013365584466108396
46,0.01175107667913234
47,0.021161829861547486
48,0.012625289565546965
49,0.013352673900195063
50,0.012527497978026702
51,0.010078176316078869
52,0.01196393049263657
53,0.01115743902957861
54,0.008994803105686115
55,0.008430016578064747
56,0.008010955096617613
57,0.007409160454138419
58,0.008295784273801747
59,0.007458237651535291
60,0.006578116965756707
61,0.005054022271017507
62,0.0068168296413060915
63,0.005287508678716777
64,0.0062633227507009745
65,0.006044721608802543
66,0.006514592252833277
67,0.004657028816165621
68,0.004546246652050882
69,0.0033157900994612135
70,0.00541546823894681
71,0.005078365228536626
72,0.005030626320885894
73,0.004060847715638906
74,0.0044571269848108505
75,0.012036218335143928
76,0.015287515828727226
77,0.012505724196547429
78,0.012023844014038486
79,0.0098864117736081
80,0.009135203812032146
81,0.01784125689606057
82,0.010193940792354295
83,0.013175667865880945
84,0.009540331746088867
85,0.00743163906490198
86,0.01270061398029488
87,0.007293364381055212
88,0.005255013465521653
89,0.004330057855483043
90,0.0030917110144288895
91,0.008992794163187953
92,0.007627785412768679
93,0.0040445279131826615
94,0.0028633174410770345
95,0.006838229628122546
96,0.0033126482135091687
