iter,loss,event_time,event_times
60,0.010664992765042267,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
61,0.01066500227537713,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
62,0.010665006605475572,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
63,0.010665003670755974,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
64,0.010664995458368057,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
65,0.010664986340760553,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
66,0.010664980409955317,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
67,0.010664979401923682,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
68,0.010664982204173478,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
69,0.010664985931143515,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
70,0.010664987751850175,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
71,0.01066498640739618,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
72,0.010664982657919273,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
73,0.010664978548968725,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
74,0.010664976057167702,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
75,0.010664975979202466,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
76,0.010664977674505057,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
77,0.010664979668310566,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
78,0.010664980617286516,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
79,0.010664980032341157,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
80,0.010664978403361575,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
81,0.0106649767533495,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
